Stkcd,Trddt,INST,Trdmnt,Year,Month
21,2013-03-31,61.099998,2013-03,2013,3
21,2013-06-30,60.068802,2013-06,2013,6
21,2013-09-30,58.82,2013-09,2013,9
21,2013-12-31,63.6959,2013-12,2013,12
21,2014-03-31,64.112,2014-03,2014,3
21,2014-06-30,64.880501,2014-06,2014,6
21,2014-09-30,62.576,2014-09,2014,9
21,2014-12-31,59.374401,2014-12,2014,12
21,2015-03-31,55.009998,2015-03,2015,3
21,2015-06-30,54.987499,2015-06,2015,6
21,2015-09-30,56.810001,2015-09,2015,9
21,2015-12-31,58.0513,2015-12,2015,12
21,2016-03-31,56.227402,2016-03,2016,3
21,2016-06-30,60.686199,2016-06,2016,6
21,2016-09-30,56.998798,2016-09,2016,9
21,2016-12-31,56.2813,2016-12,2016,12
21,2017-03-31,55.080002,2017-03,2017,3
21,2017-06-30,53.752998,2017-06,2017,6
21,2017-09-30,53.127499,2017-09,2017,9
21,2017-12-31,55.3699,2017-12,2017,12
21,2018-03-31,52.753201,2018-03,2018,3
21,2018-06-30,53.403599,2018-06,2018,6
21,2018-09-30,52.66,2018-09,2018,9
21,2018-12-31,55.708599,2018-12,2018,12
21,2019-03-31,54.903099,2019-03,2019,3
21,2019-06-30,54.218102,2019-06,2019,6
21,2019-09-30,53.950001,2019-09,2019,9
21,2019-12-31,53.583599,2019-12,2019,12
22,2009-03-31,25.400999,2009-03,2009,3
22,2009-06-30,134.782,2009-06,2009,6
22,2009-09-30,77.004799,2009-09,2009,9
22,2009-12-31,135.6102,2009-12,2009,12
22,2010-03-31,77.733498,2010-03,2010,3
22,2010-06-30,135.91071,2010-06,2010,6
22,2010-09-30,77.805801,2010-09,2010,9
22,2010-12-31,76.558998,2010-12,2010,12
22,2011-03-31,75.869003,2011-03,2011,3
22,2011-06-30,133.63071,2011-06,2011,6
22,2011-09-30,76.329002,2011-09,2011,9
22,2011-12-31,76.566101,2011-12,2011,12
22,2012-03-31,76.791,2012-03,2012,3
22,2012-06-30,77.936096,2012-06,2012,6
22,2012-09-30,77.029999,2012-09,2012,9
22,2012-12-31,77.417397,2012-12,2012,12
22,2013-03-31,76.620003,2013-03,2013,3
22,2013-06-30,76.527298,2013-06,2013,6
22,2013-09-30,76.529999,2013-09,2013,9
22,2013-12-31,76.788902,2013-12,2013,12
22,2014-03-31,76.239998,2014-03,2014,3
22,2014-06-30,76.231499,2014-06,2014,6
22,2014-09-30,76.330002,2014-09,2014,9
22,2014-12-31,76.344101,2014-12,2014,12
22,2015-03-31,76.389999,2015-03,2015,3
22,2015-12-31,76.287804,2015-12,2015,12
22,2016-03-31,75.980003,2016-03,2016,3
22,2016-06-30,75.655197,2016-06,2016,6
22,2016-09-30,75.320297,2016-09,2016,9
