"Symbol","EndDate","InsInvestorProp"
"000017","2010-06-30","37.5720"
"000017","2010-09-30","3.2790"
"000017","2010-12-31","35.2290"
"000017","2011-03-31","2.4640"
"000017","2011-06-30","33.5500"
"000017","2011-09-30","3.7600"
"000017","2011-12-31","23.4000"
"000017","2012-03-31","3.7260"
"000017","2012-06-30","22.6100"
"000017","2012-09-30","15.3650"
"000017","2012-12-31","22.2000"
"000017","2013-03-31","22.2000"
"000017","2013-06-30","22.2000"
"000017","2013-09-30","22.2000"
"000017","2013-12-31","22.2800"
"000017","2014-03-31","22.6900"
"000017","2014-06-30","20.9500"
"000017","2014-09-30","20.2700"
"000017","2014-12-31","19.7105"
"000017","2015-03-31","15.1700"
"000017","2015-06-30","16.0600"
"000017","2015-09-30","19.9200"
"000017","2015-12-31","18.2365"
"000017","2016-03-31","19.7600"
"000017","2016-06-30","19.7279"
"000017","2016-09-30","19.2200"
"000017","2016-12-31","19.2801"
"000017","2017-03-31","19.3800"
"000017","2017-06-30","21.1020"
"000017","2017-09-30","24.7070"
"000017","2017-12-31","24.7500"
"000017","2018-03-31","23.0300"
"000017","2018-06-30","22.9882"
"000017","2018-09-30","19.9800"
"000017","2018-12-31","19.5100"
"000017","2019-03-31","19.1400"
"000017","2019-06-30","19.5300"
"000017","2019-09-30","19.5000"
"000017","2019-12-31","19.5007"
"000018","2009-03-31","27.5950"
"000018","2009-06-30","62.3960"
"000018","2009-09-30","53.7120"
"000018","2009-12-31","53.7100"
"000018","2010-03-31","54.0510"
"000018","2010-06-30","62.1400"
"000018","2010-09-30","56.9890"
"000018","2010-12-31","55.6200"
"000018","2011-03-31","55.9390"
"000018","2011-06-30","56.6400"
"000018","2011-09-30","55.9940"
"000018","2011-12-31","56.8527"
"000018","2012-03-31","56.2070"
"000018","2012-06-30","61.3177"
"000018","2012-09-30","55.9910"
"000018","2012-12-31","55.9900"
"000018","2013-03-31","56.5200"
"000018","2013-06-30","54.5600"
"000018","2013-09-30","53.1700"
"000018","2013-12-31","52.7100"
"000018","2014-03-31","52.8800"
