Stkcd,Trdmnt,SUE
27,2011-06,-.26806104
27,2011-09,-.49097043
27,2011-12,-.46573785
27,2012-03,-.069497913
27,2012-06,-.2652269
27,2012-09,-.34503105
27,2012-12,-.37401262
27,2013-03,.0074612377
27,2013-06,.29969394
27,2013-09,.91029072
27,2013-12,1.6154807
27,2014-03,.42577276
27,2014-06,1.0175753
27,2014-09,1.1307291
27,2014-12,1.0910784
27,2015-03,-.075569101
27,2015-06,-.047290813
27,2015-09,.051274695
27,2015-12,-.39628264
27,2016-03,-.27027342
27,2016-06,-.25517491
27,2016-09,-.34582511
27,2016-12,-.64244002
27,2017-03,-.17649181
27,2017-06,-.76349503
27,2017-09,-.90076077
27,2017-12,-.96948981
27,2018-03,-.11154682
27,2018-06,.27281287
27,2018-09,-.33657616
27,2018-12,-.22661541
27,2019-03,.75175071
27,2019-06,1.5930315
27,2019-09,3.4676073
27,2019-12,1.6842085
28,2010-03,.36431253
28,2010-06,.37621534
28,2010-09,.93525612
28,2010-12,1.0746521
28,2011-03,.33485377
28,2011-06,.6207583
28,2011-09,.94879848
28,2011-12,.9981814
28,2012-03,.42485341
28,2012-06,1.2470394
28,2012-09,1.7054214
28,2012-12,1.4484543
28,2013-03,.16427463
28,2013-06,.10276175
28,2013-09,.28676641
28,2013-12,.49904722
28,2014-03,.16829522
28,2014-06,.5031305
28,2014-09,.66752362
28,2014-12,.75422847
28,2015-03,.16338424
28,2015-06,.29752547
28,2015-09,.52912116
28,2015-12,.59803963
28,2016-03,.0021262881
28,2016-06,.14694507
28,2016-09,.11699001
28,2016-12,.64297211
28,2017-03,.33844146
28,2017-06,.6587401
28,2017-09,.9900828
28,2017-12,.84974116
28,2018-03,.047105543
28,2018-06,.27981585
28,2018-09,.43303308
28,2018-12,.49903962
28,2019-03,.037378494
28,2019-06,.050013725
28,2019-09,.11592448
28,2019-12,.15288919
29,2010-03,-.7506355
29,2010-06,5.7810869
29,2010-09,3.1497488
29,2010-12,2.3418183
29,2011-03,.86214465
29,2011-06,.30163583
29,2011-09,.60959905
29,2011-12,.80701798
29,2012-03,-.03022429
29,2012-06,-.84720653
29,2012-09,-.78208154
29,2012-12,.063632578
29,2013-03,-.58137059
29,2013-06,-.85044211
29,2013-09,-1.3362834
29,2013-12,3.0418382
29,2014-03,.25111324
29,2014-06,.33581406
29,2014-09,.61933941
29,2014-12,1.0023836
29,2015-03,.025244899
29,2015-06,1.3664773
29,2015-09,1.5963151
29,2015-12,.033928778
29,2016-03,.050042018
29,2016-06,-.4810271
29,2016-09,-.043705974
29,2016-12,.02437553
29,2017-03,.030316543
29,2017-06,.090479068
29,2017-09,-.73179555
29,2017-12,-1.1469935
29,2018-03,-.44341701
29,2018-06,1.9333243
29,2018-09,1.8991259
29,2018-12,2.2385027
29,2019-03,.52523983
29,2019-06,-.037933636
29,2019-09,.39139092
29,2019-12,.19348745
30,2010-03,.0048284731
30,2010-06,.031942703
30,2010-09,.53363431
30,2010-12,-1.6825433
30,2011-03,
30,2011-06,73.536888
30,2011-09,-.000086152271
30,2011-12,.025641665
30,2012-03,
30,2012-06,-2.1980166
30,2012-09,
30,2012-12,.73873031
30,2013-03,.24117541
30,2013-06,.079789132
30,2013-09,
30,2013-12,.62687707
30,2014-03,.074490614
30,2014-06,.24150077
30,2014-09,.42629004
30,2014-12,.37488401
30,2015-03,.05434563
30,2015-06,-.20239587
30,2015-09,-.65907031
30,2015-12,-.61697829
30,2016-03,-.060973816
30,2016-06,.44762257
30,2016-09,.89503264
30,2016-12,.99733114
30,2017-03,.38881099
30,2017-06,.49796832
30,2017-09,.80711442
30,2017-12,.88274026
30,2018-03,-.13806425
30,2018-06,-.012353173
30,2018-09,-.083938755
30,2018-12,-.07422173
30,2019-03,.042966388
30,2019-06,-.11810254
30,2019-09,-.067948692
30,2019-12,.26475424
31,2010-03,.37093291
31,2010-06,.55970365
31,2010-09,.13747352
31,2010-12,-1.7034839
31,2011-03,-.91774738
31,2011-06,-.69145232
31,2011-09,-.77942824
31,2011-12,.27014083
31,2012-03,.19575943
31,2012-06,-.99611866
31,2012-09,-1.1523629
31,2012-12,-.48378906
31,2013-03,.28045541
31,2013-06,.11918301
31,2013-09,.63687146
31,2013-12,.6515969
31,2014-03,.6715982
31,2014-06,.70455205
31,2014-09,.77124631
31,2014-12,-1.0173604
31,2015-03,-1.3979204
31,2015-06,-2.313956
31,2015-09,-.37851956
31,2015-12,-.43275681
31,2016-03,2.3326764
31,2016-06,3.2371578
31,2016-09,.75149804
31,2016-12,3.2070796
31,2017-03,-.31255659
31,2017-06,-.044683874
31,2017-09,1.1727015
31,2017-12,2.272397
31,2018-03,.4925108
31,2018-06,1.0550134
31,2018-09,1.7587246
31,2018-12,1.4296092
31,2019-03,2.2397296
31,2019-06,2.4846749
31,2019-09,1.6264549
31,2019-12,.013545645
32,2010-03,-.1630131
32,2010-06,-.0061492138
32,2010-09,.57618022
32,2010-12,.18022941
32,2011-03,1.1870403
32,2011-06,2.3674424
32,2011-09,.35578096
32,2011-12,1.949482
32,2012-03,-2.4220843
32,2012-06,-2.4997602
32,2012-09,-2.2563164
32,2012-12,-3.1164834
32,2013-03,1.2422603
32,2013-06,1.7528037
32,2013-09,1.7137794
32,2013-12,1.4091319
32,2014-03,-1.001907
32,2014-06,-1.8752128
32,2014-09,-2.0244668
32,2014-12,-1.0765276
32,2015-03,.41037989
32,2015-06,.25574085
32,2015-09,.54261953
32,2015-12,-4.0943851
32,2016-03,1.4652919
32,2016-06,2.7911
32,2016-09,2.8034151
32,2016-12,3.1787236
32,2017-03,-.21454579
32,2017-06,-.3462095
32,2017-09,-.37690732
32,2017-12,-1.2918117
32,2018-03,.40397546
32,2018-06,1.4395609
32,2018-09,1.5693225
32,2018-12,3.2593949
32,2019-03,.23496489
32,2019-06,-.29099518
32,2019-09,.051144894
32,2019-12,1.2836262
34,2010-03,.0052204281
